,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.642,0.357,0.262,0.434,0.357,0.642,0.301,0.515
1,1,BaggingClassifier,0.996,0.942,0.99,0.996,0.942,0.996,0.961,0.996
2,1,BernoulliNB,0.827,0.656,0.66,0.858,0.656,0.827,0.639,0.837
3,1,CalibratedClassifierCV,0.989,0.932,0.992,0.989,0.932,0.989,0.958,0.989
4,1,DecisionTreeClassifier,0.993,0.895,0.953,0.993,0.895,0.993,0.902,0.993
5,1,DummyClassifier,0.425,0.125,0.053,0.181,0.125,0.425,0.075,0.254
6,1,ExtraTreeClassifier,0.837,0.616,0.683,0.833,0.616,0.837,0.639,0.834
7,1,ExtraTreesClassifier,0.988,0.838,0.989,0.988,0.838,0.988,0.886,0.988
8,1,GaussianNB,0.315,0.407,0.488,0.861,0.407,0.315,0.176,0.354
9,1,KNeighborsClassifier,0.912,0.673,0.784,0.91,0.673,0.912,0.714,0.909
10,1,LabelPropagation,0.865,0.706,0.856,0.87,0.706,0.865,0.755,0.864
11,1,LabelSpreading,0.866,0.707,0.856,0.871,0.707,0.866,0.755,0.864
12,1,LinearDiscriminantAnalysis,0.982,0.984,0.904,0.988,0.984,0.982,0.921,0.984
13,1,LinearSVC,0.992,0.95,0.99,0.992,0.95,0.992,0.966,0.992
14,1,LogisticRegression,0.994,0.954,0.932,0.995,0.954,0.994,0.941,0.994
15,1,NearestCentroid,0.852,0.845,0.672,0.921,0.845,0.852,0.672,0.881
16,1,PassiveAggressiveClassifier,0.98,0.802,0.859,0.982,0.802,0.98,0.795,0.979
17,1,Perceptron,0.983,0.907,0.872,0.984,0.907,0.983,0.888,0.984
18,1,QuadraticDiscriminantAnalysis,0.33,0.496,0.507,0.844,0.496,0.33,0.315,0.339
19,1,RandomForestClassifier,0.986,0.779,0.864,0.985,0.779,0.986,0.809,0.985
20,1,RidgeClassifier,0.949,0.597,0.594,0.922,0.597,0.949,0.595,0.934
21,1,RidgeClassifierCV,0.949,0.597,0.599,0.923,0.597,0.949,0.597,0.935
22,1,SGDClassifier,0.978,0.74,0.78,0.975,0.74,0.978,0.752,0.976
23,1,SVC,0.973,0.831,0.836,0.972,0.831,0.973,0.833,0.972
24,1,LGBMClassifier,0.993,0.87,0.874,0.993,0.87,0.993,0.868,0.993
25,2,AdaBoostClassifier,0.647,0.483,0.308,0.52,0.483,0.647,0.328,0.535
26,2,BaggingClassifier,0.997,0.992,0.992,0.997,0.992,0.997,0.992,0.997
27,2,BernoulliNB,0.829,0.75,0.652,0.851,0.75,0.829,0.615,0.834
28,2,CalibratedClassifierCV,0.992,0.857,0.871,0.992,0.857,0.992,0.864,0.992
29,2,DecisionTreeClassifier,0.993,0.983,0.904,0.993,0.983,0.993,0.932,0.993
30,2,DummyClassifier,0.418,0.125,0.052,0.175,0.125,0.418,0.074,0.247
