,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.461,0.432,0.329,0.421,0.432,0.461,0.32,0.334
1,1,BaggingClassifier,0.979,0.947,0.969,0.979,0.947,0.979,0.956,0.979
2,1,BernoulliNB,0.552,0.49,0.436,0.636,0.49,0.552,0.424,0.566
3,1,CalibratedClassifierCV,0.957,0.721,0.728,0.938,0.721,0.957,0.723,0.947
4,1,DecisionTreeClassifier,0.971,0.916,0.932,0.971,0.916,0.971,0.923,0.971
5,1,DummyClassifier,0.278,0.125,0.035,0.077,0.125,0.278,0.054,0.121
6,1,ExtraTreeClassifier,0.696,0.577,0.594,0.697,0.577,0.696,0.584,0.696
7,1,ExtraTreesClassifier,0.952,0.769,0.965,0.954,0.769,0.952,0.798,0.945
8,1,GaussianNB,0.056,0.256,0.029,0.008,0.256,0.056,0.039,0.012
9,1,KNeighborsClassifier,0.807,0.586,0.762,0.801,0.586,0.807,0.602,0.789
10,1,LabelPropagation,0.736,0.587,0.746,0.796,0.587,0.736,0.618,0.739
11,1,LabelSpreading,0.736,0.587,0.746,0.796,0.587,0.736,0.618,0.739
12,1,LinearDiscriminantAnalysis,0.964,0.938,0.886,0.973,0.938,0.964,0.903,0.967
13,1,LinearSVC,0.97,0.864,0.921,0.968,0.864,0.97,0.878,0.967
14,1,LogisticRegression,0.979,0.906,0.957,0.978,0.906,0.979,0.928,0.978
15,1,NearestCentroid,0.56,0.574,0.505,0.663,0.574,0.56,0.485,0.556
16,1,PassiveAggressiveClassifier,0.941,0.767,0.792,0.939,0.767,0.941,0.777,0.939
17,1,Perceptron,0.951,0.824,0.917,0.95,0.824,0.951,0.856,0.949
18,1,QuadraticDiscriminantAnalysis,0.325,0.475,0.46,0.537,0.475,0.325,0.296,0.218
19,1,RandomForestClassifier,0.942,0.73,0.958,0.943,0.73,0.942,0.751,0.934
20,1,RidgeClassifier,0.868,0.588,0.559,0.787,0.588,0.868,0.568,0.822
21,1,RidgeClassifierCV,0.868,0.587,0.559,0.786,0.587,0.868,0.568,0.821
22,1,SGDClassifier,0.961,0.835,0.919,0.962,0.835,0.961,0.853,0.96
23,1,SVC,0.948,0.729,0.849,0.947,0.729,0.948,0.743,0.94
24,1,LGBMClassifier,0.992,0.974,0.972,0.992,0.974,0.992,0.973,0.992
25,2,AdaBoostClassifier,0.392,0.34,0.243,0.313,0.34,0.392,0.218,0.272
26,2,BaggingClassifier,0.974,0.872,0.908,0.974,0.872,0.974,0.887,0.973
27,2,BernoulliNB,0.565,0.507,0.439,0.644,0.507,0.565,0.432,0.581
28,2,CalibratedClassifierCV,0.964,0.771,0.944,0.963,0.771,0.964,0.799,0.96
29,2,DecisionTreeClassifier,0.975,0.888,0.898,0.975,0.888,0.975,0.893,0.975
30,2,DummyClassifier,0.295,0.125,0.037,0.087,0.125,0.295,0.057,0.134
31,2,ExtraTreeClassifier,0.718,0.577,0.562,0.723,0.577,0.718,0.568,0.72
32,2,ExtraTreesClassifier,0.959,0.781,0.969,0.96,0.781,0.959,0.821,0.956
33,2,GaussianNB,0.049,0.235,0.035,0.033,0.235,0.049,0.027,0.01
34,2,KNeighborsClassifier,0.807,0.579,0.617,0.795,0.579,0.807,0.581,0.791
35,2,LabelPropagation,0.738,0.595,0.712,0.8,0.595,0.738,0.613,0.74
36,2,LabelSpreading,0.738,0.595,0.712,0.8,0.595,0.738,0.613,0.74
37,2,LinearDiscriminantAnalysis,0.959,0.91,0.897,0.971,0.91,0.959,0.889,0.964
38,2,LinearSVC,0.974,0.907,0.93,0.974,0.907,0.974,0.917,0.974
39,2,LogisticRegression,0.979,0.927,0.959,0.979,0.927,0.979,0.941,0.979
40,2,NearestCentroid,0.553,0.583,0.479,0.648,0.583,0.553,0.467,0.546
41,2,PassiveAggressiveClassifier,0.956,0.815,0.855,0.954,0.815,0.956,0.828,0.954
42,2,Perceptron,0.955,0.873,0.875,0.959,0.873,0.955,0.866,0.956
43,2,QuadraticDiscriminantAnalysis,0.319,0.461,0.508,0.624,0.461,0.319,0.289,0.207
44,2,RandomForestClassifier,0.945,0.732,0.963,0.946,0.732,0.945,0.756,0.938
45,2,RidgeClassifier,0.866,0.586,0.604,0.82,0.586,0.866,0.568,0.822
46,2,RidgeClassifierCV,0.866,0.586,0.606,0.82,0.586,0.866,0.569,0.822
47,2,SGDClassifier,0.955,0.798,0.881,0.952,0.798,0.955,0.827,0.952
48,2,SVC,0.956,0.742,0.851,0.954,0.742,0.956,0.76,0.95
49,2,LGBMClassifier,0.994,0.948,0.985,0.994,0.948,0.994,0.961,0.994
50,3,AdaBoostClassifier,0.46,0.425,0.296,0.368,0.425,0.46,0.315,0.341
51,3,BaggingClassifier,0.978,0.922,0.918,0.979,0.922,0.978,0.92,0.978
52,3,BernoulliNB,0.57,0.499,0.445,0.66,0.499,0.57,0.432,0.59
53,3,CalibratedClassifierCV,0.968,0.733,0.731,0.952,0.733,0.968,0.731,0.959
54,3,DecisionTreeClassifier,0.974,0.934,0.91,0.975,0.934,0.974,0.919,0.975
55,3,DummyClassifier,0.277,0.125,0.035,0.077,0.125,0.277,0.054,0.12
56,3,ExtraTreeClassifier,0.664,0.523,0.525,0.664,0.523,0.664,0.523,0.663
57,3,ExtraTreesClassifier,0.961,0.79,0.97,0.962,0.79,0.961,0.831,0.958
58,3,GaussianNB,0.05,0.251,0.264,0.361,0.251,0.05,0.028,0.011
59,3,KNeighborsClassifier,0.816,0.606,0.72,0.804,0.606,0.816,0.619,0.799
60,3,LabelPropagation,0.739,0.596,0.754,0.79,0.596,0.739,0.623,0.74
61,3,LabelSpreading,0.739,0.596,0.754,0.79,0.596,0.739,0.623,0.74
62,3,LinearDiscriminantAnalysis,0.977,0.927,0.899,0.978,0.927,0.977,0.91,0.977
63,3,LinearSVC,0.975,0.898,0.923,0.973,0.898,0.975,0.902,0.973
64,3,LogisticRegression,0.981,0.942,0.952,0.981,0.942,0.981,0.946,0.981
65,3,NearestCentroid,0.546,0.547,0.486,0.661,0.547,0.546,0.456,0.544
66,3,PassiveAggressiveClassifier,0.951,0.842,0.874,0.954,0.842,0.951,0.854,0.952
67,3,Perceptron,0.946,0.807,0.837,0.95,0.807,0.946,0.811,0.947
68,3,QuadraticDiscriminantAnalysis,0.319,0.486,0.434,0.536,0.486,0.319,0.291,0.224
69,3,RandomForestClassifier,0.952,0.742,0.968,0.954,0.742,0.952,0.771,0.946
70,3,RidgeClassifier,0.881,0.6,0.563,0.804,0.6,0.881,0.579,0.839
71,3,RidgeClassifierCV,0.88,0.6,0.563,0.804,0.6,0.88,0.579,0.838
72,3,SGDClassifier,0.956,0.773,0.819,0.953,0.773,0.956,0.782,0.953
73,3,SVC,0.956,0.738,0.82,0.952,0.738,0.956,0.751,0.95
74,3,LGBMClassifier,0.996,0.991,0.994,0.996,0.991,0.996,0.993,0.996
75,4,AdaBoostClassifier,0.333,0.37,0.279,0.349,0.37,0.333,0.251,0.254
76,4,BaggingClassifier,0.98,0.937,0.941,0.981,0.937,0.98,0.937,0.981
77,4,BernoulliNB,0.573,0.5,0.448,0.644,0.5,0.573,0.44,0.59
78,4,CalibratedClassifierCV,0.955,0.738,0.852,0.943,0.738,0.955,0.751,0.945
79,4,DecisionTreeClassifier,0.974,0.923,0.934,0.975,0.923,0.974,0.925,0.974
80,4,DummyClassifier,0.265,0.125,0.033,0.07,0.125,0.265,0.052,0.111
81,4,ExtraTreeClassifier,0.703,0.569,0.593,0.703,0.569,0.703,0.579,0.702
82,4,ExtraTreesClassifier,0.947,0.766,0.905,0.943,0.766,0.947,0.796,0.94
83,4,GaussianNB,0.06,0.263,0.033,0.008,0.263,0.06,0.045,0.013
84,4,KNeighborsClassifier,0.802,0.584,0.854,0.807,0.584,0.802,0.594,0.78
85,4,LabelPropagation,0.729,0.581,0.745,0.781,0.581,0.729,0.613,0.729
86,4,LabelSpreading,0.73,0.581,0.746,0.782,0.581,0.73,0.613,0.73
87,4,LinearDiscriminantAnalysis,0.97,0.937,0.92,0.974,0.937,0.97,0.924,0.971
