,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.367,0.388,0.305,0.455,0.388,0.367,0.264,0.325
1,1,BaggingClassifier,0.986,0.942,0.953,0.986,0.942,0.986,0.947,0.986
2,1,BernoulliNB,0.837,0.724,0.694,0.855,0.724,0.837,0.697,0.84
3,1,CalibratedClassifierCV,0.984,0.897,0.969,0.984,0.897,0.984,0.924,0.984
4,1,DecisionTreeClassifier,0.982,0.922,0.945,0.982,0.922,0.982,0.931,0.982
5,1,DummyClassifier,0.326,0.125,0.041,0.106,0.125,0.326,0.061,0.16
6,1,ExtraTreeClassifier,0.828,0.672,0.723,0.827,0.672,0.828,0.691,0.827
7,1,ExtraTreesClassifier,0.98,0.838,0.975,0.98,0.838,0.98,0.875,0.979
8,1,GaussianNB,0.908,0.892,0.752,0.934,0.892,0.908,0.791,0.915
9,1,KNeighborsClassifier,0.855,0.626,0.837,0.854,0.626,0.855,0.671,0.848
10,1,LabelPropagation,0.251,0.163,0.626,0.688,0.163,0.251,0.117,0.157
11,1,LabelSpreading,0.251,0.163,0.626,0.688,0.163,0.251,0.117,0.157
12,1,LinearDiscriminantAnalysis,0.976,0.941,0.919,0.981,0.941,0.976,0.919,0.977
13,1,LinearSVC,0.987,0.939,0.971,0.987,0.939,0.987,0.952,0.987
14,1,LogisticRegression,0.991,0.943,0.97,0.991,0.943,0.991,0.955,0.991
15,1,NearestCentroid,0.7,0.757,0.584,0.799,0.757,0.7,0.581,0.729
16,1,PassiveAggressiveClassifier,0.974,0.862,0.917,0.974,0.862,0.974,0.884,0.974
17,1,Perceptron,0.973,0.829,0.931,0.973,0.829,0.973,0.851,0.972
18,1,QuadraticDiscriminantAnalysis,0.894,0.794,0.833,0.905,0.794,0.894,0.75,0.895
19,1,RandomForestClassifier,0.977,0.806,0.963,0.977,0.806,0.977,0.84,0.975
20,1,RidgeClassifier,0.911,0.593,0.579,0.859,0.593,0.911,0.584,0.882
21,1,RidgeClassifierCV,0.911,0.593,0.579,0.859,0.593,0.911,0.584,0.882
22,1,SGDClassifier,0.967,0.763,0.813,0.964,0.763,0.967,0.78,0.965
23,1,SVC,0.974,0.808,0.843,0.971,0.808,0.974,0.823,0.972
24,1,LGBMClassifier,0.847,0.673,0.642,0.854,0.673,0.847,0.654,0.849
25,2,AdaBoostClassifier,0.544,0.365,0.259,0.379,0.365,0.544,0.276,0.406
26,2,BaggingClassifier,0.984,0.905,0.961,0.984,0.905,0.984,0.925,0.983
27,2,BernoulliNB,0.834,0.716,0.688,0.85,0.716,0.834,0.691,0.837
28,2,CalibratedClassifierCV,0.985,0.852,0.978,0.985,0.852,0.985,0.889,0.984
29,2,DecisionTreeClassifier,0.982,0.897,0.943,0.982,0.897,0.982,0.915,0.982
30,2,DummyClassifier,0.335,0.125,0.042,0.112,0.125,0.335,0.063,0.168
31,2,ExtraTreeClassifier,0.783,0.603,0.607,0.782,0.603,0.783,0.605,0.782
32,2,ExtraTreesClassifier,0.98,0.786,0.983,0.98,0.786,0.98,0.819,0.978
33,2,GaussianNB,0.907,0.889,0.753,0.933,0.889,0.907,0.791,0.914
34,2,KNeighborsClassifier,0.836,0.585,0.742,0.832,0.585,0.836,0.621,0.827
35,2,LabelPropagation,0.258,0.159,0.547,0.71,0.159,0.258,0.11,0.162
36,2,LabelSpreading,0.258,0.159,0.547,0.71,0.159,0.258,0.11,0.162
37,2,LinearDiscriminantAnalysis,0.974,0.938,0.915,0.979,0.938,0.974,0.917,0.976
38,2,LinearSVC,0.986,0.889,0.98,0.986,0.889,0.986,0.919,0.985
39,2,LogisticRegression,0.99,0.919,0.973,0.99,0.919,0.99,0.943,0.99
40,2,NearestCentroid,0.699,0.751,0.58,0.788,0.751,0.699,0.583,0.727
41,2,PassiveAggressiveClassifier,0.967,0.787,0.827,0.969,0.787,0.967,0.794,0.968
42,2,Perceptron,0.97,0.79,0.875,0.969,0.79,0.97,0.814,0.969
43,2,QuadraticDiscriminantAnalysis,0.9,0.793,0.73,0.917,0.793,0.9,0.747,0.903
44,2,RandomForestClassifier,0.979,0.786,0.857,0.977,0.786,0.979,0.809,0.977
45,2,RidgeClassifier,0.907,0.583,0.576,0.851,0.583,0.907,0.576,0.876
46,2,RidgeClassifierCV,0.907,0.583,0.576,0.851,0.583,0.907,0.576,0.876
47,2,SGDClassifier,0.966,0.732,0.786,0.961,0.732,0.966,0.752,0.963
48,2,SVC,0.974,0.801,0.972,0.975,0.801,0.974,0.832,0.973
49,2,LGBMClassifier,0.994,0.925,0.951,0.994,0.925,0.994,0.936,0.994
50,3,AdaBoostClassifier,0.551,0.367,0.28,0.409,0.367,0.551,0.284,0.418
51,3,BaggingClassifier,0.987,0.927,0.941,0.987,0.927,0.987,0.933,0.987
52,3,BernoulliNB,0.829,0.74,0.722,0.846,0.74,0.829,0.721,0.831
53,3,CalibratedClassifierCV,0.986,0.876,0.976,0.986,0.876,0.986,0.911,0.985
54,3,DecisionTreeClassifier,0.981,0.902,0.932,0.98,0.902,0.981,0.914,0.98
55,3,DummyClassifier,0.328,0.125,0.041,0.108,0.125,0.328,0.062,0.162
