,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.644,0.362,0.262,0.435,0.362,0.644,0.302,0.516
1,1,BaggingClassifier,0.994,0.911,0.973,0.994,0.911,0.994,0.936,0.994
2,1,BernoulliNB,0.869,0.781,0.783,0.884,0.781,0.869,0.759,0.872
3,1,CalibratedClassifierCV,0.988,0.851,0.867,0.987,0.851,0.988,0.858,0.988
4,1,DecisionTreeClassifier,0.989,0.91,0.965,0.989,0.91,0.989,0.932,0.989
5,1,DummyClassifier,0.425,0.125,0.053,0.181,0.125,0.425,0.075,0.254
6,1,ExtraTreeClassifier,0.914,0.707,0.726,0.914,0.707,0.914,0.714,0.914
7,1,ExtraTreesClassifier,0.983,0.767,0.864,0.982,0.767,0.983,0.802,0.981
8,1,GaussianNB,0.907,0.802,0.709,0.945,0.802,0.907,0.71,0.922
9,1,KNeighborsClassifier,0.869,0.576,0.665,0.865,0.576,0.869,0.6,0.862
10,1,LabelPropagation,0.269,0.167,0.754,0.772,0.167,0.269,0.126,0.173
11,1,LabelSpreading,0.269,0.167,0.754,0.772,0.167,0.269,0.126,0.173
12,1,LinearDiscriminantAnalysis,0.98,0.982,0.908,0.986,0.982,0.98,0.922,0.982
13,1,LinearSVC,0.992,0.936,0.965,0.992,0.936,0.992,0.946,0.992
14,1,LogisticRegression,0.99,0.907,0.95,0.99,0.907,0.99,0.925,0.99
15,1,NearestCentroid,0.781,0.782,0.621,0.843,0.782,0.781,0.62,0.798
16,1,PassiveAggressiveClassifier,0.981,0.761,0.839,0.981,0.761,0.981,0.766,0.98
17,1,Perceptron,0.978,0.769,0.84,0.978,0.769,0.978,0.78,0.977
18,1,QuadraticDiscriminantAnalysis,0.896,0.69,0.671,0.893,0.69,0.896,0.68,0.894
19,1,RandomForestClassifier,0.981,0.76,0.862,0.98,0.76,0.981,0.796,0.979
20,1,RidgeClassifier,0.948,0.595,0.598,0.921,0.595,0.948,0.596,0.934
21,1,RidgeClassifierCV,0.948,0.595,0.598,0.921,0.595,0.948,0.596,0.934
22,1,SGDClassifier,0.969,0.692,0.728,0.964,0.692,0.969,0.708,0.966
23,1,SVC,0.979,0.793,0.821,0.977,0.793,0.979,0.806,0.978
24,1,LGBMClassifier,0.488,0.176,0.203,0.421,0.176,0.488,0.164,0.402
25,2,AdaBoostClassifier,0.52,0.378,0.324,0.591,0.378,0.52,0.301,0.463
26,2,BaggingClassifier,0.996,0.867,0.866,0.996,0.867,0.996,0.867,0.996
27,2,BernoulliNB,0.852,0.699,0.642,0.869,0.699,0.852,0.636,0.856
28,2,CalibratedClassifierCV,0.993,0.863,0.851,0.992,0.863,0.993,0.856,0.993
29,2,DecisionTreeClassifier,0.994,0.986,0.906,0.994,0.986,0.994,0.935,0.994
30,2,DummyClassifier,0.418,0.125,0.052,0.175,0.125,0.418,0.074,0.247
31,2,ExtraTreeClassifier,0.884,0.608,0.63,0.886,0.608,0.884,0.617,0.885
32,2,ExtraTreesClassifier,0.988,0.834,0.866,0.988,0.834,0.988,0.849,0.988
33,2,GaussianNB,0.929,0.919,0.696,0.948,0.919,0.929,0.724,0.937
34,2,KNeighborsClassifier,0.863,0.564,0.686,0.864,0.564,0.863,0.591,0.857
35,2,LabelPropagation,0.267,0.153,0.517,0.765,0.153,0.267,0.102,0.164
36,2,LabelSpreading,0.267,0.153,0.517,0.765,0.153,0.267,0.102,0.164
37,2,LinearDiscriminantAnalysis,0.978,0.984,0.901,0.983,0.984,0.978,0.917,0.98
38,2,LinearSVC,0.993,0.863,0.851,0.993,0.863,0.993,0.856,0.993
39,2,LogisticRegression,0.997,0.869,0.842,0.997,0.869,0.997,0.853,0.997
40,2,NearestCentroid,0.764,0.697,0.593,0.825,0.697,0.764,0.59,0.784
