,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.461,0.432,0.329,0.421,0.432,0.461,0.32,0.334
1,1,BaggingClassifier,0.973,0.931,0.945,0.973,0.931,0.973,0.937,0.973
2,1,BernoulliNB,0.873,0.769,0.744,0.884,0.769,0.873,0.751,0.875
3,1,CalibratedClassifierCV,0.97,0.81,0.966,0.97,0.81,0.97,0.845,0.967
4,1,DecisionTreeClassifier,0.968,0.938,0.912,0.969,0.938,0.968,0.923,0.968
5,1,DummyClassifier,0.278,0.125,0.035,0.077,0.125,0.278,0.054,0.121
6,1,ExtraTreeClassifier,0.842,0.723,0.75,0.842,0.723,0.842,0.734,0.841
7,1,ExtraTreesClassifier,0.963,0.805,0.973,0.964,0.805,0.963,0.842,0.96
8,1,GaussianNB,0.898,0.875,0.785,0.933,0.875,0.898,0.807,0.907
9,1,KNeighborsClassifier,0.764,0.531,0.641,0.756,0.531,0.764,0.553,0.746
10,1,LabelPropagation,0.191,0.138,0.519,0.641,0.138,0.191,0.064,0.083
11,1,LabelSpreading,0.191,0.138,0.519,0.641,0.138,0.191,0.064,0.083
12,1,LinearDiscriminantAnalysis,0.961,0.931,0.906,0.97,0.931,0.961,0.912,0.965
13,1,LinearSVC,0.971,0.861,0.961,0.971,0.861,0.971,0.893,0.969
14,1,LogisticRegression,0.973,0.881,0.945,0.972,0.881,0.973,0.907,0.972
15,1,NearestCentroid,0.762,0.819,0.654,0.846,0.819,0.762,0.665,0.789
16,1,PassiveAggressiveClassifier,0.946,0.799,0.842,0.946,0.799,0.946,0.814,0.946
17,1,Perceptron,0.953,0.824,0.872,0.951,0.824,0.953,0.844,0.951
18,1,QuadraticDiscriminantAnalysis,0.917,0.755,0.876,0.917,0.755,0.917,0.769,0.915
19,1,RandomForestClassifier,0.956,0.766,0.968,0.957,0.766,0.956,0.795,0.95
20,1,RidgeClassifier,0.868,0.591,0.559,0.786,0.591,0.868,0.57,0.822
21,1,RidgeClassifierCV,0.868,0.591,0.559,0.786,0.591,0.868,0.57,0.822
22,1,SGDClassifier,0.947,0.728,0.769,0.936,0.728,0.947,0.74,0.94
23,1,SVC,0.958,0.782,0.952,0.958,0.782,0.958,0.812,0.954
24,1,LGBMClassifier,0.992,0.946,0.968,0.991,0.946,0.992,0.954,0.991
25,2,AdaBoostClassifier,0.321,0.346,0.233,0.309,0.346,0.321,0.231,0.251
26,2,BaggingClassifier,0.969,0.867,0.915,0.969,0.867,0.969,0.883,0.969
27,2,BernoulliNB,0.871,0.8,0.744,0.889,0.8,0.871,0.761,0.876
28,2,CalibratedClassifierCV,0.975,0.855,0.957,0.975,0.855,0.975,0.886,0.974
29,2,DecisionTreeClassifier,0.964,0.876,0.869,0.964,0.876,0.964,0.872,0.964
30,2,DummyClassifier,0.295,0.125,0.037,0.087,0.125,0.295,0.057,0.134
31,2,ExtraTreeClassifier,0.791,0.636,0.629,0.793,0.636,0.791,0.631,0.791
32,2,ExtraTreesClassifier,0.963,0.776,0.971,0.963,0.776,0.963,0.809,0.959
33,2,GaussianNB,0.884,0.856,0.743,0.927,0.856,0.884,0.766,0.896
34,2,KNeighborsClassifier,0.761,0.506,0.618,0.756,0.506,0.761,0.521,0.745
35,2,LabelPropagation,0.189,0.136,0.417,0.629,0.136,0.189,0.059,0.087
36,2,LabelSpreading,0.189,0.136,0.417,0.629,0.136,0.189,0.059,0.087
37,2,LinearDiscriminantAnalysis,0.952,0.902,0.896,0.966,0.902,0.952,0.883,0.958
38,2,LinearSVC,0.978,0.909,0.95,0.978,0.909,0.978,0.927,0.977
39,2,LogisticRegression,0.978,0.945,0.964,0.977,0.945,0.978,0.953,0.977
40,2,NearestCentroid,0.739,0.779,0.632,0.852,0.779,0.739,0.628,0.774
41,2,PassiveAggressiveClassifier,0.954,0.79,0.816,0.951,0.79,0.954,0.793,0.951
42,2,Perceptron,0.954,0.785,0.812,0.953,0.785,0.954,0.797,0.953
43,2,QuadraticDiscriminantAnalysis,0.896,0.729,0.71,0.896,0.729,0.896,0.718,0.896
44,2,RandomForestClassifier,0.962,0.767,0.848,0.958,0.767,0.962,0.788,0.958
45,2,RidgeClassifier,0.865,0.585,0.679,0.871,0.585,0.865,0.566,0.819
46,2,RidgeClassifierCV,0.865,0.585,0.679,0.871,0.585,0.865,0.566,0.819
47,2,SGDClassifier,0.951,0.762,0.849,0.95,0.762,0.951,0.788,0.948
48,2,SVC,0.951,0.765,0.83,0.947,0.765,0.951,0.788,0.947
49,2,LGBMClassifier,0.99,0.92,0.965,0.99,0.92,0.99,0.938,0.99
50,3,AdaBoostClassifier,0.46,0.425,0.296,0.368,0.425,0.46,0.315,0.341
51,3,BaggingClassifier,0.976,0.919,0.927,0.977,0.919,0.976,0.922,0.976
52,3,BernoulliNB,0.887,0.8,0.745,0.898,0.8,0.887,0.761,0.89
53,3,CalibratedClassifierCV,0.979,0.881,0.961,0.979,0.881,0.979,0.913,0.978
54,3,DecisionTreeClassifier,0.97,0.864,0.902,0.97,0.864,0.97,0.88,0.97
55,3,DummyClassifier,0.277,0.125,0.035,0.077,0.125,0.277,0.054,0.12
56,3,ExtraTreeClassifier,0.793,0.714,0.712,0.794,0.714,0.793,0.712,0.793
57,3,ExtraTreesClassifier,0.972,0.797,0.965,0.972,0.797,0.972,0.827,0.969
58,3,GaussianNB,0.9,0.886,0.763,0.933,0.886,0.9,0.793,0.908
59,3,KNeighborsClassifier,0.778,0.548,0.761,0.773,0.548,0.778,0.578,0.765
60,3,LabelPropagation,0.195,0.133,0.359,0.601,0.133,0.195,0.057,0.086
61,3,LabelSpreading,0.195,0.133,0.359,0.601,0.133,0.195,0.057,0.086
62,3,LinearDiscriminantAnalysis,0.97,0.926,0.932,0.972,0.926,0.97,0.926,0.971
63,3,LinearSVC,0.979,0.891,0.956,0.978,0.891,0.979,0.915,0.978
64,3,LogisticRegression,0.981,0.929,0.955,0.98,0.929,0.981,0.94,0.98
65,3,NearestCentroid,0.749,0.784,0.637,0.856,0.784,0.749,0.635,0.782
66,3,PassiveAggressiveClassifier,0.956,0.77,0.845,0.95,0.77,0.956,0.791,0.952
67,3,Perceptron,0.954,0.855,0.887,0.953,0.855,0.954,0.868,0.953
68,3,QuadraticDiscriminantAnalysis,0.906,0.747,0.86,0.904,0.747,0.906,0.762,0.904
69,3,RandomForestClassifier,0.966,0.796,0.953,0.966,0.796,0.966,0.826,0.964
70,3,RidgeClassifier,0.881,0.601,0.563,0.804,0.601,0.881,0.579,0.839
71,3,RidgeClassifierCV,0.881,0.601,0.563,0.804,0.601,0.881,0.579,0.839
72,3,SGDClassifier,0.96,0.771,0.853,0.954,0.771,0.96,0.794,0.956
73,3,SVC,0.96,0.766,0.824,0.955,0.766,0.96,0.787,0.956
74,3,LGBMClassifier,0.995,0.974,0.972,0.995,0.974,0.995,0.973,0.995
75,4,AdaBoostClassifier,0.333,0.37,0.279,0.349,0.37,0.333,0.251,0.254
76,4,BaggingClassifier,0.974,0.942,0.933,0.975,0.942,0.974,0.936,0.975
77,4,BernoulliNB,0.866,0.778,0.764,0.875,0.778,0.866,0.768,0.868
78,4,CalibratedClassifierCV,0.97,0.849,0.961,0.97,0.849,0.97,0.888,0.968
79,4,DecisionTreeClassifier,0.965,0.92,0.919,0.966,0.92,0.965,0.918,0.966
80,4,DummyClassifier,0.265,0.125,0.033,0.07,0.125,0.265,0.052,0.111
81,4,ExtraTreeClassifier,0.719,0.59,0.611,0.716,0.59,0.719,0.599,0.717
82,4,ExtraTreesClassifier,0.969,0.825,0.966,0.969,0.825,0.969,0.86,0.966
83,4,GaussianNB,0.891,0.886,0.791,0.924,0.886,0.891,0.815,0.899
84,4,KNeighborsClassifier,0.745,0.508,0.716,0.748,0.508,0.745,0.525,0.724
85,4,LabelPropagation,0.197,0.135,0.338,0.522,0.135,0.197,0.06,0.087
86,4,LabelSpreading,0.197,0.135,0.338,0.522,0.135,0.197,0.06,0.087
87,4,LinearDiscriminantAnalysis,0.968,0.938,0.93,0.972,0.938,0.968,0.929,0.969
88,4,LinearSVC,0.978,0.909,0.962,0.977,0.909,0.978,0.927,0.976
89,4,LogisticRegression,0.98,0.928,0.957,0.98,0.928,0.98,0.942,0.98
90,4,NearestCentroid,0.752,0.804,0.654,0.836,0.804,0.752,0.665,0.778
91,4,PassiveAggressiveClassifier,0.929,0.788,0.828,0.931,0.788,0.929,0.793,0.929
92,4,Perceptron,0.947,0.834,0.884,0.947,0.834,0.947,0.854,0.947
93,4,QuadraticDiscriminantAnalysis,0.889,0.759,0.849,0.892,0.759,0.889,0.75,0.886
94,4,RandomForestClassifier,0.956,0.781,0.933,0.954,0.781,0.956,0.813,0.95
95,4,RidgeClassifier,0.856,0.591,0.679,0.859,0.591,0.856,0.57,0.806
96,4,RidgeClassifierCV,0.856,0.591,0.679,0.859,0.591,0.856,0.57,0.806
