,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.555,0.369,0.269,0.392,0.369,0.555,0.281,0.414
1,1,BaggingClassifier,0.984,0.899,0.943,0.984,0.899,0.984,0.916,0.984
2,1,BernoulliNB,0.621,0.598,0.487,0.706,0.598,0.621,0.493,0.651
3,1,CalibratedClassifierCV,0.985,0.896,0.965,0.985,0.896,0.985,0.922,0.985
4,1,DecisionTreeClassifier,0.978,0.884,0.879,0.979,0.884,0.978,0.881,0.978
5,1,DummyClassifier,0.326,0.125,0.041,0.106,0.125,0.326,0.061,0.16
6,1,ExtraTreeClassifier,0.816,0.65,0.639,0.817,0.65,0.816,0.644,0.816
7,1,ExtraTreesClassifier,0.976,0.791,0.977,0.977,0.791,0.976,0.82,0.974
8,1,GaussianNB,0.881,0.853,0.706,0.924,0.853,0.881,0.736,0.892
9,1,KNeighborsClassifier,0.831,0.589,0.824,0.827,0.589,0.831,0.625,0.821
10,1,LabelPropagation,0.347,0.223,0.569,0.707,0.223,0.347,0.216,0.317
11,1,LabelSpreading,0.347,0.223,0.569,0.707,0.223,0.347,0.216,0.317
12,1,LinearDiscriminantAnalysis,0.975,0.94,0.918,0.98,0.94,0.975,0.918,0.977
13,1,LinearSVC,0.987,0.921,0.963,0.986,0.921,0.987,0.935,0.986
14,1,LogisticRegression,0.991,0.946,0.968,0.991,0.946,0.991,0.957,0.991
15,1,NearestCentroid,0.554,0.609,0.518,0.721,0.609,0.554,0.471,0.606
16,1,PassiveAggressiveClassifier,0.957,0.864,0.839,0.972,0.864,0.957,0.835,0.964
17,1,Perceptron,0.97,0.846,0.892,0.971,0.846,0.97,0.861,0.97
18,1,QuadraticDiscriminantAnalysis,0.911,0.793,0.711,0.922,0.793,0.911,0.735,0.913
19,1,RandomForestClassifier,0.969,0.751,0.824,0.966,0.751,0.969,0.77,0.966
20,1,RidgeClassifier,0.913,0.595,0.579,0.861,0.595,0.913,0.585,0.884
21,1,RidgeClassifierCV,0.913,0.595,0.579,0.861,0.595,0.913,0.585,0.884
22,1,SGDClassifier,0.965,0.771,0.815,0.962,0.771,0.965,0.789,0.963
23,1,SVC,0.977,0.816,0.856,0.974,0.816,0.977,0.833,0.975
24,1,LGBMClassifier,0.417,0.293,0.392,0.533,0.293,0.417,0.298,0.417
