,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.644,0.36,0.28,0.448,0.36,0.644,0.303,0.517
1,1,BaggingClassifier,0.994,0.913,0.973,0.994,0.913,0.994,0.937,0.994
2,1,BernoulliNB,0.768,0.663,0.524,0.817,0.663,0.768,0.555,0.786
3,1,CalibratedClassifierCV,0.987,0.891,0.919,0.987,0.891,0.987,0.903,0.987
4,1,DecisionTreeClassifier,0.99,0.932,0.92,0.991,0.932,0.99,0.924,0.99
5,1,DummyClassifier,0.425,0.125,0.053,0.181,0.125,0.425,0.075,0.254
6,1,ExtraTreeClassifier,0.923,0.76,0.83,0.922,0.76,0.923,0.788,0.923
7,1,ExtraTreesClassifier,0.981,0.771,0.863,0.981,0.771,0.981,0.807,0.98
8,1,GaussianNB,0.909,0.83,0.692,0.945,0.83,0.909,0.707,0.924
9,1,KNeighborsClassifier,0.853,0.561,0.657,0.847,0.561,0.853,0.588,0.845
10,1,LabelPropagation,0.367,0.219,0.736,0.744,0.219,0.367,0.215,0.332
11,1,LabelSpreading,0.367,0.219,0.736,0.744,0.219,0.367,0.215,0.332
12,1,LinearDiscriminantAnalysis,0.978,0.981,0.905,0.984,0.981,0.978,0.919,0.98
13,1,LinearSVC,0.991,0.938,0.981,0.991,0.938,0.991,0.956,0.991
14,1,LogisticRegression,0.993,0.895,0.987,0.993,0.895,0.993,0.92,0.993
15,1,NearestCentroid,0.676,0.689,0.549,0.817,0.689,0.676,0.513,0.725
16,1,PassiveAggressiveClassifier,0.973,0.798,0.8,0.974,0.798,0.973,0.788,0.972
17,1,Perceptron,0.977,0.807,0.801,0.976,0.807,0.977,0.803,0.977
18,1,QuadraticDiscriminantAnalysis,0.925,0.71,0.679,0.925,0.71,0.925,0.693,0.924
19,1,RandomForestClassifier,0.975,0.727,0.858,0.974,0.727,0.975,0.766,0.972
20,1,RidgeClassifier,0.944,0.593,0.597,0.917,0.593,0.944,0.594,0.929
21,1,RidgeClassifierCV,0.944,0.593,0.597,0.917,0.593,0.944,0.594,0.929
22,1,SGDClassifier,0.97,0.719,0.853,0.969,0.719,0.97,0.74,0.968
23,1,SVC,0.981,0.779,0.859,0.979,0.779,0.981,0.803,0.979
24,1,LGBMClassifier,0.379,0.116,0.194,0.414,0.116,0.379,0.082,0.259
25,2,AdaBoostClassifier,0.52,0.378,0.324,0.591,0.378,0.52,0.301,0.463
26,2,BaggingClassifier,0.996,0.865,0.866,0.996,0.865,0.996,0.866,0.996
27,2,BernoulliNB,0.762,0.645,0.485,0.812,0.645,0.762,0.515,0.78
