,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.461,0.432,0.329,0.421,0.432,0.461,0.32,0.334
1,1,BaggingClassifier,0.975,0.933,0.956,0.975,0.933,0.975,0.94,0.975
2,1,BernoulliNB,0.675,0.677,0.562,0.717,0.677,0.675,0.583,0.688
3,1,CalibratedClassifierCV,0.973,0.82,0.961,0.972,0.82,0.973,0.858,0.97
4,1,DecisionTreeClassifier,0.966,0.919,0.913,0.966,0.919,0.966,0.916,0.966
5,1,DummyClassifier,0.278,0.125,0.035,0.077,0.125,0.278,0.054,0.121
6,1,ExtraTreeClassifier,0.788,0.662,0.649,0.792,0.662,0.788,0.654,0.789
7,1,ExtraTreesClassifier,0.957,0.772,0.969,0.958,0.772,0.957,0.802,0.952
8,1,GaussianNB,0.888,0.878,0.757,0.918,0.878,0.888,0.787,0.896
9,1,KNeighborsClassifier,0.748,0.543,0.757,0.746,0.543,0.748,0.576,0.733
10,1,LabelPropagation,0.212,0.146,0.367,0.6,0.146,0.212,0.081,0.126
11,1,LabelSpreading,0.212,0.146,0.367,0.6,0.146,0.212,0.081,0.126
12,1,LinearDiscriminantAnalysis,0.96,0.931,0.908,0.969,0.931,0.96,0.914,0.964
13,1,LinearSVC,0.974,0.902,0.95,0.972,0.902,0.974,0.918,0.972
14,1,LogisticRegression,0.981,0.931,0.96,0.98,0.931,0.981,0.943,0.98
15,1,NearestCentroid,0.54,0.621,0.5,0.674,0.621,0.54,0.481,0.577
16,1,PassiveAggressiveClassifier,0.951,0.804,0.867,0.951,0.804,0.951,0.823,0.95
17,1,Perceptron,0.952,0.802,0.847,0.951,0.802,0.952,0.816,0.951
18,1,QuadraticDiscriminantAnalysis,0.931,0.777,0.881,0.93,0.777,0.931,0.795,0.928
19,1,RandomForestClassifier,0.947,0.759,0.959,0.947,0.759,0.947,0.787,0.941
20,1,RidgeClassifier,0.866,0.588,0.683,0.87,0.588,0.866,0.569,0.821
21,1,RidgeClassifierCV,0.866,0.588,0.683,0.87,0.588,0.866,0.569,0.821
22,1,SGDClassifier,0.944,0.728,0.767,0.934,0.728,0.944,0.739,0.938
23,1,SVC,0.956,0.777,0.954,0.956,0.777,0.956,0.808,0.952
24,1,LGBMClassifier,0.991,0.945,0.985,0.991,0.945,0.991,0.958,0.991
25,2,AdaBoostClassifier,0.387,0.336,0.236,0.307,0.336,0.387,0.217,0.271
26,2,BaggingClassifier,0.971,0.88,0.897,0.971,0.88,0.971,0.888,0.971
27,2,BernoulliNB,0.644,0.612,0.517,0.699,0.612,0.644,0.527,0.663
28,2,CalibratedClassifierCV,0.979,0.921,0.973,0.98,0.921,0.979,0.943,0.979
29,2,DecisionTreeClassifier,0.96,0.902,0.904,0.96,0.902,0.96,0.903,0.96
30,2,DummyClassifier,0.295,0.125,0.037,0.087,0.125,0.295,0.057,0.134
31,2,ExtraTreeClassifier,0.786,0.636,0.623,0.791,0.636,0.786,0.628,0.788
32,2,ExtraTreesClassifier,0.96,0.79,0.969,0.96,0.79,0.96,0.829,0.957
33,2,GaussianNB,0.879,0.882,0.739,0.913,0.882,0.879,0.768,0.889
34,2,KNeighborsClassifier,0.73,0.488,0.6,0.724,0.488,0.73,0.502,0.714
35,2,LabelPropagation,0.215,0.155,0.476,0.608,0.155,0.215,0.102,0.142
36,2,LabelSpreading,0.215,0.155,0.476,0.608,0.155,0.215,0.102,0.142
37,2,LinearDiscriminantAnalysis,0.957,0.909,0.899,0.971,0.909,0.957,0.888,0.962
