,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.567,0.376,0.337,0.519,0.376,0.567,0.291,0.437
1,1,BaggingClassifier,0.989,0.918,0.959,0.989,0.918,0.989,0.934,0.989
2,1,BernoulliNB,0.85,0.726,0.695,0.873,0.726,0.85,0.702,0.854
3,1,CalibratedClassifierCV,0.984,0.877,0.96,0.984,0.877,0.984,0.907,0.984
4,1,DecisionTreeClassifier,0.989,0.94,0.949,0.989,0.94,0.989,0.945,0.989
5,1,DummyClassifier,0.326,0.125,0.041,0.106,0.125,0.326,0.061,0.16
6,1,ExtraTreeClassifier,0.901,0.765,0.773,0.9,0.765,0.901,0.768,0.9
7,1,ExtraTreesClassifier,0.992,0.914,0.986,0.992,0.914,0.992,0.941,0.991
8,1,GaussianNB,0.66,0.646,0.591,0.854,0.646,0.66,0.539,0.723
9,1,KNeighborsClassifier,0.724,0.471,0.684,0.736,0.471,0.724,0.49,0.709
10,1,LabelPropagation,0.616,0.403,0.571,0.72,0.403,0.616,0.423,0.611
11,1,LabelSpreading,0.616,0.403,0.571,0.72,0.403,0.616,0.423,0.611
12,1,LinearDiscriminantAnalysis,0.972,0.937,0.914,0.978,0.937,0.972,0.914,0.974
13,1,LinearSVC,0.986,0.907,0.962,0.986,0.907,0.986,0.927,0.985
14,1,LogisticRegression,0.99,0.925,0.97,0.99,0.925,0.99,0.945,0.99
15,1,NearestCentroid,0.793,0.799,0.624,0.869,0.799,0.793,0.631,0.815
16,1,PassiveAggressiveClassifier,0.964,0.791,0.794,0.965,0.791,0.964,0.791,0.964
17,1,Perceptron,0.971,0.807,0.883,0.969,0.807,0.971,0.824,0.969
18,1,QuadraticDiscriminantAnalysis,0.705,0.718,0.699,0.798,0.718,0.705,0.628,0.73
19,1,RandomForestClassifier,0.99,0.895,0.978,0.991,0.895,0.99,0.917,0.99
20,1,RidgeClassifier,0.911,0.595,0.579,0.859,0.595,0.911,0.585,0.883
