,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.628,0.262,0.373,0.546,0.262,0.628,0.233,0.513
1,1,BaggingClassifier,0.995,0.94,0.988,0.995,0.94,0.995,0.959,0.995
2,1,BernoulliNB,0.883,0.753,0.687,0.913,0.753,0.883,0.697,0.888
3,1,CalibratedClassifierCV,0.99,0.91,0.992,0.99,0.91,0.99,0.944,0.99
4,1,DecisionTreeClassifier,0.993,0.927,0.988,0.993,0.927,0.993,0.952,0.993
5,1,DummyClassifier,0.425,0.125,0.053,0.181,0.125,0.425,0.075,0.254
6,1,ExtraTreeClassifier,0.961,0.756,0.778,0.96,0.756,0.961,0.762,0.961
7,1,ExtraTreesClassifier,0.994,0.868,0.98,0.994,0.868,0.994,0.902,0.994
8,1,GaussianNB,0.245,0.297,0.479,0.805,0.297,0.245,0.255,0.366
9,1,KNeighborsClassifier,0.811,0.49,0.629,0.813,0.49,0.811,0.524,0.801
10,1,LabelPropagation,0.741,0.517,0.765,0.786,0.517,0.741,0.578,0.741
11,1,LabelSpreading,0.741,0.517,0.765,0.786,0.517,0.741,0.578,0.741
12,1,LinearDiscriminantAnalysis,0.981,0.983,0.907,0.987,0.983,0.981,0.922,0.983
13,1,LinearSVC,0.99,0.912,0.987,0.99,0.912,0.99,0.942,0.99
14,1,LogisticRegression,0.994,0.94,0.982,0.994,0.94,0.994,0.957,0.994
15,1,NearestCentroid,0.882,0.847,0.652,0.927,0.847,0.882,0.665,0.897
16,1,PassiveAggressiveClassifier,0.979,0.769,0.836,0.979,0.769,0.979,0.779,0.978
17,1,Perceptron,0.98,0.822,0.919,0.98,0.822,0.98,0.849,0.98
18,1,QuadraticDiscriminantAnalysis,0.518,0.596,0.756,0.751,0.596,0.518,0.549,0.558
19,1,RandomForestClassifier,0.992,0.858,0.974,0.991,0.858,0.992,0.894,0.991
20,1,RidgeClassifier,0.95,0.597,0.599,0.923,0.597,0.95,0.597,0.936
21,1,RidgeClassifierCV,0.95,0.597,0.599,0.923,0.597,0.95,0.597,0.936
22,1,SGDClassifier,0.973,0.704,0.734,0.968,0.704,0.973,0.718,0.97
23,1,SVC,0.969,0.714,0.789,0.966,0.714,0.969,0.735,0.967
24,1,LGBMClassifier,0.286,0.143,0.142,0.433,0.143,0.286,0.081,0.197
25,2,AdaBoostClassifier,0.52,0.378,0.324,0.591,0.378,0.52,0.301,0.463
26,2,BaggingClassifier,0.997,0.992,0.994,0.997,0.992,0.997,0.993,0.997
27,2,BernoulliNB,0.881,0.76,0.687,0.912,0.76,0.881,0.694,0.886
28,2,CalibratedClassifierCV,0.993,0.843,0.848,0.992,0.843,0.993,0.845,0.993
29,2,DecisionTreeClassifier,0.995,0.991,0.971,0.995,0.991,0.995,0.98,0.995
30,2,DummyClassifier,0.418,0.125,0.052,0.175,0.125,0.418,0.074,0.247
31,2,ExtraTreeClassifier,0.96,0.757,0.749,0.96,0.757,0.96,0.752,0.96
32,2,ExtraTreesClassifier,0.996,0.99,0.994,0.996,0.99,0.996,0.992,0.996
33,2,GaussianNB,0.237,0.254,0.488,0.815,0.254,0.237,0.257,0.359
34,2,KNeighborsClassifier,0.81,0.489,0.643,0.815,0.489,0.81,0.522,0.802
35,2,LabelPropagation,0.747,0.469,0.576,0.788,0.469,0.747,0.494,0.747
36,2,LabelSpreading,0.747,0.469,0.576,0.788,0.469,0.747,0.494,0.747
37,2,LinearDiscriminantAnalysis,0.983,0.984,0.903,0.988,0.984,0.983,0.918,0.985
38,2,LinearSVC,0.995,0.868,0.837,0.995,0.868,0.995,0.85,0.995
