,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.461,0.432,0.329,0.421,0.432,0.461,0.32,0.334
1,1,BaggingClassifier,0.98,0.949,0.967,0.981,0.949,0.98,0.956,0.98
2,1,BernoulliNB,0.861,0.762,0.759,0.87,0.762,0.861,0.758,0.863
3,1,CalibratedClassifierCV,0.971,0.842,0.941,0.97,0.842,0.971,0.877,0.969
4,1,DecisionTreeClassifier,0.979,0.942,0.951,0.979,0.942,0.979,0.946,0.979
5,1,DummyClassifier,0.278,0.125,0.035,0.077,0.125,0.278,0.054,0.121
6,1,ExtraTreeClassifier,0.918,0.854,0.853,0.918,0.854,0.918,0.852,0.918
7,1,ExtraTreesClassifier,0.98,0.901,0.983,0.98,0.901,0.98,0.933,0.979
8,1,GaussianNB,0.472,0.554,0.608,0.82,0.554,0.472,0.457,0.523
9,1,KNeighborsClassifier,0.632,0.441,0.513,0.666,0.441,0.632,0.439,0.615
10,1,LabelPropagation,0.435,0.34,0.575,0.633,0.34,0.435,0.347,0.429
11,1,LabelSpreading,0.435,0.34,0.574,0.633,0.34,0.435,0.347,0.429
12,1,LinearDiscriminantAnalysis,0.961,0.93,0.908,0.97,0.93,0.961,0.914,0.965
13,1,LinearSVC,0.973,0.902,0.943,0.971,0.902,0.973,0.916,0.971
14,1,LogisticRegression,0.979,0.914,0.956,0.978,0.914,0.979,0.933,0.978
15,1,NearestCentroid,0.78,0.82,0.657,0.85,0.82,0.78,0.671,0.799
16,1,PassiveAggressiveClassifier,0.945,0.807,0.813,0.944,0.807,0.945,0.81,0.944
17,1,Perceptron,0.95,0.836,0.888,0.949,0.836,0.95,0.857,0.948
18,1,QuadraticDiscriminantAnalysis,0.717,0.634,0.707,0.773,0.634,0.717,0.596,0.717
19,1,RandomForestClassifier,0.979,0.891,0.977,0.98,0.891,0.979,0.922,0.979
20,1,RidgeClassifier,0.871,0.594,0.611,0.824,0.594,0.871,0.576,0.827
21,1,RidgeClassifierCV,0.872,0.594,0.611,0.825,0.594,0.872,0.576,0.828
22,1,SGDClassifier,0.955,0.739,0.797,0.945,0.739,0.955,0.754,0.948
23,1,SVC,0.956,0.728,0.786,0.944,0.728,0.956,0.731,0.946
24,1,LGBMClassifier,0.994,0.988,0.976,0.994,0.988,0.994,0.982,0.994
25,2,AdaBoostClassifier,0.392,0.34,0.243,0.313,0.34,0.392,0.218,0.272
26,2,BaggingClassifier,0.973,0.871,0.907,0.972,0.871,0.973,0.886,0.972
27,2,BernoulliNB,0.856,0.729,0.691,0.873,0.729,0.856,0.7,0.861
28,2,CalibratedClassifierCV,0.974,0.877,0.952,0.975,0.877,0.974,0.903,0.974
29,2,DecisionTreeClassifier,0.978,0.907,0.899,0.978,0.907,0.978,0.903,0.978
30,2,DummyClassifier,0.295,0.125,0.037,0.087,0.125,0.295,0.057,0.134
31,2,ExtraTreeClassifier,0.9,0.823,0.794,0.901,0.823,0.9,0.807,0.9
32,2,ExtraTreesClassifier,0.979,0.877,0.97,0.979,0.877,0.979,0.905,0.979
33,2,GaussianNB,0.565,0.582,0.595,0.841,0.582,0.565,0.507,0.647
34,2,KNeighborsClassifier,0.608,0.406,0.488,0.644,0.406,0.608,0.404,0.59
35,2,LabelPropagation,0.433,0.341,0.524,0.636,0.341,0.433,0.348,0.431
36,2,LabelSpreading,0.433,0.341,0.524,0.636,0.341,0.433,0.348,0.431
37,2,LinearDiscriminantAnalysis,0.955,0.909,0.896,0.97,0.909,0.955,0.886,0.961
38,2,LinearSVC,0.975,0.918,0.961,0.975,0.918,0.975,0.936,0.975
39,2,LogisticRegression,0.975,0.913,0.959,0.975,0.913,0.975,0.933,0.975
40,2,NearestCentroid,0.778,0.767,0.64,0.857,0.767,0.778,0.646,0.802
41,2,PassiveAggressiveClassifier,0.948,0.795,0.831,0.949,0.795,0.948,0.798,0.948
42,2,Perceptron,0.95,0.815,0.823,0.951,0.815,0.95,0.819,0.95
43,2,QuadraticDiscriminantAnalysis,0.77,0.737,0.717,0.803,0.737,0.77,0.7,0.774
44,2,RandomForestClassifier,0.979,0.875,0.981,0.98,0.875,0.979,0.907,0.979
45,2,RidgeClassifier,0.866,0.589,0.644,0.847,0.589,0.866,0.573,0.823
46,2,RidgeClassifierCV,0.866,0.589,0.644,0.847,0.589,0.866,0.573,0.823
47,2,SGDClassifier,0.945,0.736,0.799,0.941,0.736,0.945,0.759,0.942
48,2,SVC,0.954,0.741,0.842,0.951,0.741,0.954,0.761,0.949
49,2,LGBMClassifier,0.994,0.949,0.966,0.994,0.949,0.994,0.955,0.994
50,3,AdaBoostClassifier,0.46,0.425,0.296,0.368,0.425,0.46,0.315,0.341
51,3,BaggingClassifier,0.982,0.93,0.927,0.983,0.93,0.982,0.928,0.982
52,3,BernoulliNB,0.878,0.795,0.744,0.889,0.795,0.878,0.759,0.881
53,3,CalibratedClassifierCV,0.982,0.903,0.957,0.981,0.903,0.982,0.925,0.981
54,3,DecisionTreeClassifier,0.98,0.942,0.943,0.981,0.942,0.98,0.942,0.98
55,3,DummyClassifier,0.277,0.125,0.035,0.077,0.125,0.277,0.054,0.12
56,3,ExtraTreeClassifier,0.926,0.839,0.809,0.928,0.839,0.926,0.823,0.927
57,3,ExtraTreesClassifier,0.985,0.909,0.981,0.986,0.909,0.985,0.937,0.985
58,3,GaussianNB,0.472,0.554,0.602,0.822,0.554,0.472,0.463,0.543
59,3,KNeighborsClassifier,0.629,0.453,0.614,0.653,0.453,0.629,0.47,0.616
60,3,LabelPropagation,0.456,0.376,0.548,0.639,0.376,0.456,0.391,0.454
61,3,LabelSpreading,0.456,0.376,0.548,0.639,0.376,0.456,0.391,0.454
62,3,LinearDiscriminantAnalysis,0.973,0.926,0.933,0.976,0.926,0.973,0.926,0.974
63,3,LinearSVC,0.983,0.907,0.949,0.981,0.907,0.983,0.921,0.981
64,3,LogisticRegression,0.985,0.953,0.949,0.985,0.953,0.985,0.95,0.985
65,3,NearestCentroid,0.782,0.782,0.642,0.858,0.782,0.782,0.649,0.803
66,3,PassiveAggressiveClassifier,0.963,0.846,0.864,0.963,0.846,0.963,0.854,0.963
67,3,Perceptron,0.963,0.834,0.861,0.96,0.834,0.963,0.844,0.961
68,3,QuadraticDiscriminantAnalysis,0.726,0.708,0.703,0.76,0.708,0.726,0.66,0.728
69,3,RandomForestClassifier,0.986,0.912,0.98,0.986,0.912,0.986,0.938,0.986
70,3,RidgeClassifier,0.885,0.606,0.65,0.861,0.606,0.885,0.589,0.845
71,3,RidgeClassifierCV,0.885,0.606,0.65,0.861,0.606,0.885,0.589,0.845
