,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.365,0.389,0.298,0.449,0.389,0.365,0.26,0.323
1,1,BaggingClassifier,0.986,0.927,0.968,0.986,0.927,0.986,0.945,0.986
2,1,BernoulliNB,0.642,0.634,0.509,0.717,0.634,0.642,0.524,0.667
3,1,CalibratedClassifierCV,0.985,0.882,0.967,0.985,0.882,0.985,0.911,0.984
4,1,DecisionTreeClassifier,0.979,0.907,0.924,0.979,0.907,0.979,0.915,0.979
5,1,DummyClassifier,0.326,0.125,0.041,0.106,0.125,0.326,0.061,0.16
6,1,ExtraTreeClassifier,0.765,0.603,0.602,0.766,0.603,0.765,0.602,0.766
7,1,ExtraTreesClassifier,0.976,0.787,0.847,0.974,0.787,0.976,0.807,0.974
8,1,GaussianNB,0.883,0.867,0.715,0.922,0.867,0.883,0.751,0.892
9,1,KNeighborsClassifier,0.833,0.585,0.812,0.828,0.585,0.833,0.62,0.822
10,1,LabelPropagation,0.329,0.213,0.615,0.703,0.213,0.329,0.201,0.288
11,1,LabelSpreading,0.33,0.213,0.617,0.703,0.213,0.33,0.201,0.289
12,1,LinearDiscriminantAnalysis,0.973,0.939,0.916,0.978,0.939,0.973,0.917,0.974
13,1,LinearSVC,0.987,0.932,0.972,0.987,0.932,0.987,0.947,0.987
14,1,LogisticRegression,0.991,0.947,0.973,0.99,0.947,0.991,0.959,0.991
15,1,NearestCentroid,0.56,0.644,0.529,0.729,0.644,0.56,0.487,0.612
16,1,PassiveAggressiveClassifier,0.97,0.821,0.892,0.969,0.821,0.97,0.845,0.969
17,1,Perceptron,0.967,0.835,0.861,0.969,0.835,0.967,0.829,0.967
18,1,QuadraticDiscriminantAnalysis,0.906,0.78,0.707,0.917,0.78,0.906,0.728,0.908
19,1,RandomForestClassifier,0.97,0.777,0.952,0.97,0.777,0.97,0.804,0.968
20,1,RidgeClassifier,0.909,0.59,0.577,0.856,0.59,0.909,0.582,0.88
21,1,RidgeClassifierCV,0.909,0.59,0.577,0.856,0.59,0.909,0.582,0.88
22,1,SGDClassifier,0.966,0.764,0.84,0.964,0.764,0.966,0.787,0.965
23,1,SVC,0.973,0.803,0.851,0.971,0.803,0.973,0.821,0.971
24,1,LGBMClassifier,0.885,0.713,0.701,0.887,0.713,0.885,0.705,0.886
25,2,AdaBoostClassifier,0.544,0.365,0.259,0.379,0.365,0.544,0.276,0.406
26,2,BaggingClassifier,0.983,0.908,0.945,0.983,0.908,0.983,0.921,0.983
27,2,BernoulliNB,0.655,0.619,0.51,0.728,0.619,0.655,0.523,0.679
28,2,CalibratedClassifierCV,0.985,0.856,0.968,0.985,0.856,0.985,0.888,0.984
29,2,DecisionTreeClassifier,0.981,0.904,0.931,0.981,0.904,0.981,0.917,0.981
30,2,DummyClassifier,0.335,0.125,0.042,0.112,0.125,0.335,0.063,0.168
31,2,ExtraTreeClassifier,0.772,0.597,0.597,0.771,0.597,0.772,0.596,0.771
32,2,ExtraTreesClassifier,0.978,0.777,0.856,0.975,0.777,0.978,0.801,0.975
33,2,GaussianNB,0.892,0.903,0.732,0.927,0.903,0.892,0.776,0.9
34,2,KNeighborsClassifier,0.833,0.589,0.783,0.829,0.589,0.833,0.628,0.822
35,2,LabelPropagation,0.337,0.216,0.663,0.719,0.216,0.337,0.208,0.294
36,2,LabelSpreading,0.337,0.216,0.663,0.719,0.216,0.337,0.208,0.294
37,2,LinearDiscriminantAnalysis,0.969,0.935,0.911,0.974,0.935,0.969,0.914,0.971
38,2,LinearSVC,0.988,0.912,0.991,0.988,0.912,0.988,0.936,0.987
39,2,LogisticRegression,0.991,0.943,0.971,0.99,0.943,0.991,0.956,0.99
40,2,NearestCentroid,0.574,0.653,0.529,0.738,0.653,0.574,0.496,0.626
41,2,PassiveAggressiveClassifier,0.972,0.837,0.885,0.972,0.837,0.972,0.855,0.972
42,2,Perceptron,0.972,0.814,0.866,0.971,0.814,0.972,0.834,0.971
43,2,QuadraticDiscriminantAnalysis,0.921,0.803,0.73,0.925,0.803,0.921,0.755,0.922
44,2,RandomForestClassifier,0.974,0.755,0.853,0.971,0.755,0.974,0.777,0.97
45,2,RidgeClassifier,0.904,0.583,0.575,0.848,0.583,0.904,0.575,0.873
