,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.644,0.36,0.261,0.434,0.36,0.644,0.301,0.515
1,1,BaggingClassifier,0.993,0.914,0.961,0.993,0.914,0.993,0.933,0.993
2,1,BernoulliNB,0.8,0.665,0.552,0.828,0.665,0.8,0.578,0.809
3,1,CalibratedClassifierCV,0.986,0.88,0.966,0.986,0.88,0.986,0.902,0.986
4,1,DecisionTreeClassifier,0.988,0.867,0.942,0.988,0.867,0.988,0.884,0.988
5,1,DummyClassifier,0.425,0.125,0.053,0.181,0.125,0.425,0.075,0.254
6,1,ExtraTreeClassifier,0.934,0.681,0.686,0.933,0.681,0.934,0.683,0.933
7,1,ExtraTreesClassifier,0.982,0.772,0.863,0.981,0.772,0.982,0.807,0.98
8,1,GaussianNB,0.904,0.815,0.686,0.938,0.815,0.904,0.698,0.918
9,1,KNeighborsClassifier,0.856,0.559,0.655,0.851,0.559,0.856,0.585,0.848
10,1,LabelPropagation,0.373,0.226,0.683,0.724,0.226,0.373,0.227,0.341
11,1,LabelSpreading,0.373,0.226,0.683,0.724,0.226,0.373,0.227,0.341
12,1,LinearDiscriminantAnalysis,0.977,0.981,0.907,0.983,0.981,0.977,0.921,0.979
13,1,LinearSVC,0.989,0.883,0.964,0.989,0.883,0.989,0.902,0.989
14,1,LogisticRegression,0.992,0.893,0.967,0.992,0.893,0.992,0.909,0.992
15,1,NearestCentroid,0.702,0.729,0.57,0.818,0.729,0.702,0.548,0.742
16,1,PassiveAggressiveClassifier,0.977,0.837,0.811,0.978,0.837,0.977,0.822,0.977
17,1,Perceptron,0.979,0.849,0.828,0.978,0.849,0.979,0.838,0.979
18,1,QuadraticDiscriminantAnalysis,0.916,0.702,0.68,0.917,0.702,0.916,0.69,0.915
19,1,RandomForestClassifier,0.973,0.705,0.857,0.973,0.705,0.973,0.74,0.97
20,1,RidgeClassifier,0.947,0.595,0.597,0.92,0.595,0.947,0.595,0.933
21,1,RidgeClassifierCV,0.947,0.595,0.597,0.92,0.595,0.947,0.595,0.933
22,1,SGDClassifier,0.97,0.717,0.776,0.967,0.717,0.97,0.737,0.968
23,1,SVC,0.978,0.813,0.843,0.977,0.813,0.978,0.826,0.977
24,1,LGBMClassifier,0.993,0.838,0.842,0.992,0.838,0.993,0.84,0.992
25,2,AdaBoostClassifier,0.52,0.378,0.324,0.591,0.378,0.52,0.301,0.463
26,2,BaggingClassifier,0.995,0.864,0.862,0.995,0.864,0.995,0.863,0.995
27,2,BernoulliNB,0.789,0.656,0.518,0.828,0.656,0.789,0.543,0.803
28,2,CalibratedClassifierCV,0.992,0.843,0.868,0.992,0.843,0.992,0.854,0.992
29,2,DecisionTreeClassifier,0.996,0.993,0.907,0.996,0.993,0.996,0.939,0.996
30,2,DummyClassifier,0.418,0.125,0.052,0.175,0.125,0.418,0.074,0.247
31,2,ExtraTreeClassifier,0.904,0.67,0.64,0.907,0.67,0.904,0.653,0.906
32,2,ExtraTreesClassifier,0.983,0.807,0.864,0.983,0.807,0.983,0.832,0.983
33,2,GaussianNB,0.92,0.92,0.684,0.948,0.92,0.92,0.714,0.931
34,2,KNeighborsClassifier,0.866,0.546,0.676,0.865,0.546,0.866,0.574,0.858
35,2,LabelPropagation,0.379,0.209,0.583,0.745,0.209,0.379,0.196,0.344
36,2,LabelSpreading,0.379,0.209,0.583,0.745,0.209,0.379,0.196,0.344
37,2,LinearDiscriminantAnalysis,0.984,0.987,0.906,0.988,0.987,0.984,0.923,0.985
38,2,LinearSVC,0.996,0.851,0.868,0.996,0.851,0.996,0.858,0.996
39,2,LogisticRegression,0.995,0.869,0.85,0.995,0.869,0.995,0.859,0.995
40,2,NearestCentroid,0.679,0.741,0.548,0.81,0.741,0.679,0.523,0.726
41,2,PassiveAggressiveClassifier,0.985,0.796,0.825,0.985,0.796,0.985,0.807,0.985
42,2,Perceptron,0.982,0.923,0.873,0.983,0.923,0.982,0.876,0.982
43,2,QuadraticDiscriminantAnalysis,0.931,0.705,0.678,0.931,0.705,0.931,0.69,0.93
44,2,RandomForestClassifier,0.981,0.741,0.86,0.981,0.741,0.981,0.775,0.98
45,2,RidgeClassifier,0.949,0.588,0.601,0.927,0.588,0.949,0.593,0.937
46,2,RidgeClassifierCV,0.949,0.588,0.601,0.927,0.588,0.949,0.593,0.937
47,2,SGDClassifier,0.982,0.706,0.729,0.979,0.706,0.982,0.716,0.98
48,2,SVC,0.98,0.824,0.859,0.979,0.824,0.98,0.84,0.979
49,2,LGBMClassifier,0.995,0.991,0.843,0.997,0.991,0.995,0.874,0.996
50,3,AdaBoostClassifier,0.676,0.483,0.431,0.773,0.483,0.676,0.347,0.614
51,3,BaggingClassifier,0.992,0.851,0.924,0.992,0.851,0.992,0.876,0.992
52,3,BernoulliNB,0.8,0.708,0.601,0.824,0.708,0.8,0.633,0.808
53,3,CalibratedClassifierCV,0.99,0.86,0.993,0.99,0.86,0.99,0.896,0.989
54,3,DecisionTreeClassifier,0.994,0.876,0.947,0.993,0.876,0.994,0.901,0.993
55,3,DummyClassifier,0.418,0.125,0.052,0.175,0.125,0.418,0.074,0.247
56,3,ExtraTreeClassifier,0.912,0.651,0.649,0.911,0.651,0.912,0.65,0.911
57,3,ExtraTreesClassifier,0.985,0.764,0.865,0.983,0.764,0.985,0.788,0.983
58,3,GaussianNB,0.892,0.818,0.69,0.936,0.818,0.892,0.699,0.91
59,3,KNeighborsClassifier,0.846,0.55,0.652,0.84,0.55,0.846,0.578,0.838
60,3,LabelPropagation,0.356,0.256,0.839,0.726,0.256,0.356,0.273,0.322
61,3,LabelSpreading,0.356,0.256,0.839,0.726,0.256,0.356,0.273,0.322
62,3,LinearDiscriminantAnalysis,0.982,0.99,0.931,0.984,0.99,0.982,0.95,0.983
63,3,LinearSVC,0.992,0.917,0.981,0.992,0.917,0.992,0.938,0.992
64,3,LogisticRegression,0.99,0.854,0.909,0.99,0.854,0.99,0.876,0.99
65,3,NearestCentroid,0.691,0.71,0.565,0.813,0.71,0.691,0.543,0.733
66,3,PassiveAggressiveClassifier,0.983,0.751,0.85,0.982,0.751,0.983,0.752,0.981
67,3,Perceptron,0.981,0.798,0.881,0.98,0.798,0.981,0.82,0.98
68,3,QuadraticDiscriminantAnalysis,0.921,0.709,0.677,0.919,0.709,0.921,0.691,0.919
69,3,RandomForestClassifier,0.977,0.7,0.734,0.971,0.7,0.977,0.713,0.973
