,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.461,0.432,0.329,0.421,0.432,0.461,0.32,0.334
1,1,BaggingClassifier,0.971,0.924,0.957,0.971,0.924,0.971,0.937,0.971
2,1,BernoulliNB,0.746,0.719,0.611,0.776,0.719,0.746,0.636,0.756
3,1,CalibratedClassifierCV,0.971,0.811,0.961,0.971,0.811,0.971,0.845,0.968
4,1,DecisionTreeClassifier,0.97,0.942,0.928,0.97,0.942,0.97,0.934,0.97
5,1,DummyClassifier,0.278,0.125,0.035,0.077,0.125,0.278,0.054,0.121
6,1,ExtraTreeClassifier,0.799,0.71,0.694,0.802,0.71,0.799,0.701,0.8
7,1,ExtraTreesClassifier,0.958,0.771,0.97,0.959,0.771,0.958,0.804,0.952
8,1,GaussianNB,0.897,0.882,0.771,0.924,0.882,0.897,0.801,0.904
9,1,KNeighborsClassifier,0.753,0.524,0.632,0.748,0.524,0.753,0.543,0.737
10,1,LabelPropagation,0.204,0.142,0.446,0.691,0.142,0.204,0.071,0.108
11,1,LabelSpreading,0.204,0.142,0.446,0.691,0.142,0.204,0.071,0.108
12,1,LinearDiscriminantAnalysis,0.959,0.936,0.909,0.968,0.936,0.959,0.916,0.962
13,1,LinearSVC,0.974,0.883,0.96,0.973,0.883,0.974,0.911,0.972
14,1,LogisticRegression,0.976,0.905,0.95,0.975,0.905,0.976,0.924,0.975
15,1,NearestCentroid,0.58,0.651,0.527,0.711,0.651,0.58,0.513,0.617
16,1,PassiveAggressiveClassifier,0.941,0.78,0.879,0.943,0.78,0.941,0.795,0.94
17,1,Perceptron,0.942,0.761,0.776,0.937,0.761,0.942,0.766,0.938
18,1,QuadraticDiscriminantAnalysis,0.925,0.769,0.889,0.925,0.769,0.925,0.781,0.921
19,1,RandomForestClassifier,0.957,0.77,0.967,0.958,0.77,0.957,0.799,0.951
20,1,RidgeClassifier,0.869,0.59,0.684,0.872,0.59,0.869,0.571,0.823
21,1,RidgeClassifierCV,0.869,0.59,0.684,0.872,0.59,0.869,0.571,0.823
22,1,SGDClassifier,0.95,0.756,0.834,0.943,0.756,0.95,0.778,0.945
23,1,SVC,0.955,0.772,0.961,0.955,0.772,0.955,0.804,0.95
24,1,LGBMClassifier,0.99,0.949,0.968,0.99,0.949,0.99,0.957,0.99
25,2,AdaBoostClassifier,0.392,0.34,0.243,0.313,0.34,0.392,0.218,0.272
26,2,BaggingClassifier,0.966,0.865,0.924,0.966,0.865,0.966,0.888,0.966
27,2,BernoulliNB,0.743,0.709,0.603,0.778,0.709,0.743,0.624,0.756
28,2,CalibratedClassifierCV,0.977,0.877,0.965,0.977,0.877,0.977,0.909,0.976
29,2,DecisionTreeClassifier,0.963,0.88,0.887,0.962,0.88,0.963,0.883,0.962
30,2,DummyClassifier,0.295,0.125,0.037,0.087,0.125,0.295,0.057,0.134
31,2,ExtraTreeClassifier,0.796,0.687,0.663,0.8,0.687,0.796,0.674,0.798
32,2,ExtraTreesClassifier,0.961,0.775,0.972,0.962,0.775,0.961,0.809,0.958
33,2,GaussianNB,0.892,0.887,0.754,0.926,0.887,0.892,0.784,0.901
34,2,KNeighborsClassifier,0.75,0.517,0.607,0.745,0.517,0.75,0.536,0.736
35,2,LabelPropagation,0.198,0.14,0.362,0.628,0.14,0.198,0.069,0.106
36,2,LabelSpreading,0.198,0.14,0.362,0.628,0.14,0.198,0.069,0.106
37,2,LinearDiscriminantAnalysis,0.954,0.906,0.897,0.968,0.906,0.954,0.885,0.96
38,2,LinearSVC,0.978,0.91,0.967,0.978,0.91,0.978,0.932,0.977
39,2,LogisticRegression,0.978,0.925,0.958,0.978,0.925,0.978,0.94,0.978
40,2,NearestCentroid,0.572,0.63,0.513,0.72,0.63,0.572,0.493,0.613
41,2,PassiveAggressiveClassifier,0.946,0.865,0.829,0.949,0.865,0.946,0.844,0.947
42,2,Perceptron,0.95,0.836,0.862,0.953,0.836,0.95,0.839,0.951
43,2,QuadraticDiscriminantAnalysis,0.923,0.802,0.864,0.927,0.802,0.923,0.812,0.921
44,2,RandomForestClassifier,0.955,0.759,0.964,0.955,0.759,0.955,0.788,0.95
45,2,RidgeClassifier,0.867,0.591,0.682,0.874,0.591,0.867,0.572,0.821
46,2,RidgeClassifierCV,0.867,0.591,0.682,0.874,0.591,0.867,0.572,0.821
